,Unnamed: 0,idListaCobro,idCredito,consecutivoCobro,idBanco,montoExigible,montoCobrar,montoCobrado,fechaCobroBanco,idRespuestaBanco,fechaCreacionLista,idBanco_y,fechaEnvioCobro,idEmisora,horaCreacionLista,Descripcion,Nombre,Emisora,TipoEnvio,Costo,TiempoRespuesta,TiempoBusqueda,pagare,capital,fechaAperturaCredito,Promedio de pago
0,1278180,126519,6,32697369,2,375.47,375.47,0.0,,04,2023-08-14,2,14/08/2023,23,7:56AM,Cuenta Insuficiencia Fondos,BBVA CLABE PARCIAL,6111,PARCIAL,1.755,1440.0,8640.0,27033.84,12000.0,12/03/2012,0.0
1,220988,102697,560,29066708,2,572.44,572.44,0.0,,,2022-10-25,14,25/10/2022,9,5:36AM,,SANTANDER CLABE TRADICIONAL,623,TRADICIONAL,2.82,1440.0,10080.0,27477.12,13000.0,13/03/2012,0.0
2,216074,102693,773,29059961,14,391.12,391.12,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,28160.64,12500.0,15/03/2012,0.0
3,216075,102693,1154,29062362,14,92.73,92.73,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,6676.56,2500.0,15/03/2012,0.0
4,216076,102693,1315,29062129,14,375.47,375.47,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,27033.84,12000.0,20/03/2012,0.0
5,216077,102693,1340,29058151,14,312.89,312.89,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,22528.08,10000.0,20/03/2012,0.0
6,216078,102693,2292,29060054,14,328.54,328.54,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,23654.88,10500.0,22/03/2012,0.0
7,216079,102693,2894,29061120,14,927.23,927.23,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,66760.56,25000.0,23/03/2012,0.0
8,216080,102693,3280,29058425,14,625.78,625.78,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,45056.16,20000.0,26/03/2012,0.0
9,220996,102697,3316,29066716,72,453.69,453.69,0.0,,,2022-10-25,14,25/10/2022,9,5:36AM,,SANTANDER CLABE TRADICIONAL,623,TRADICIONAL,2.82,1440.0,10080.0,32665.68,14500.0,28/03/2012,0.0
10,3179916,142484,3674,36776754,72,344.18,344.18,0.0,,1.0,2024-05-10,72,10/05/2024,12,5:35AM,,BANORTE CLABE TRADICIONAL,496,TRADICIONAL,2.5,1440.0,11520.0,24780.96,11000.0,29/03/2012,0.0
11,220997,102697,3821,29066717,72,484.98,484.98,0.0,,,2022-10-25,14,25/10/2022,9,5:36AM,,SANTANDER CLABE TRADICIONAL,623,TRADICIONAL,2.82,1440.0,10080.0,34918.56,15500.0,29/03/2012,0.0
12,1103657,123309,4635,32145444,72,453.69,453.69,0.0,,04,2023-06-27,72,27/06/2023,25,6:09AM,Cuenta Insuficiencia Fondos,BBVA CLABE INTERBANCARIA,7167,INTERBANCARIO,6.0,1440.0,1440.0,32665.68,14500.0,02/04/2012,0.1578947368421052
13,3405982,143372,4914,37032378,72,484.98,484.98,0.0,,4.0,2024-05-27,72,27/05/2024,12,6:45AM,,BANORTE CLABE TRADICIONAL,496,TRADICIONAL,2.5,1440.0,11520.0,34918.56,15500.0,03/04/2012,0.0476190476190476
14,216081,102693,5058,29058173,14,1110.76,1110.76,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,79974.72,35500.0,03/04/2012,0.0
15,216082,102693,5651,29059311,14,109.52,109.52,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,7885.44,3500.0,09/04/2012,0.0
16,216083,102693,5851,29061207,14,344.18,344.18,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,24780.96,11000.0,11/04/2012,0.0
17,216084,102693,6572,29057798,14,125.16,125.16,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,9011.52,4000.0,12/04/2012,0.0
18,216085,102693,6699,29062166,14,375.47,375.47,0.0,,,2022-10-25,14,25/10/2022,7,5:28AM,,BANORTE TRADICIONAL REINTENTO ,REINTENTO,TRADICIONAL,2.5,30.0,30.0,27033.84,12000.0,16/04/2012,0.0
19,221005,102697,7896,29066725,2,955.84,955.84,0.0,,,2022-10-25,14,25/10/2022,9,5:36AM,,SANTANDER CLABE TRADICIONAL,623,TRADICIONAL,2.82,1440.0,10080.0,45880.32,25000.0,20/04/2012,0.0
20,221006,102697,8251,29066726,2,927.23,927.23,0.0,,,2022-10-25,14,25/10/2022,9,5:36AM,,SANTANDER CLABE TRADICIONAL,623,TRADICIONAL,2.82,1440.0,10080.0,66760.56,25000.0,23/04/2012,0.0
21,221007,102697,8690,29066727,2,573.5,573.5,0.0,,,2022-10-25,14,25/10/2022,9,5:36AM,,SANTANDER CLABE TRADICIONAL,623,TRADICIONAL,2.82,1440.0,10080.0,27528.0,15000.0,26/04/2012,0.0
22,1103659,123309,8947,32145441,72,463.62,463.62,0.0,,04,2023-06-27,72,27/06/2023,25,6:09AM,Cuenta Insuficiencia Fondos,BBVA CLABE INTERBANCARIA,7167,INTERBANCARIO,6.0,1440.0,1440.0,33380.64,12500.0,25/04/2012,0.0
